Date,Day,Slot Time,Venue,Court,Status,Price,Last checked
2026-09-18,Fri,10:00 am to 11:00 am,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,18 Sep 10:53
2026-09-18,Fri,11:00 am to 12:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,18 Sep 11:59
2026-09-18,Fri,12:00 pm to 1:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,18 Sep 12:55
2026-09-18,Fri,1:00 pm to 2:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,18 Sep 13:56
2026-09-18,Fri,2:00 pm to 3:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,18 Sep 14:55
2026-09-18,Fri,3:00 pm to 4:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,18 Sep 15:55
2026-09-18,Fri,9:00 am to 10:00 am,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,18 Sep 09:55
2026-09-18,Fri,10:00 am to 10:30 am,Global Sports Complex | Noida,Tennis Court,Not Booked,300,18 Sep 10:20
2026-09-18,Fri,10:30 am to 11:00 am,Global Sports Complex | Noida,Tennis Court,Not Booked,300,18 Sep 10:53
2026-09-18,Fri,11:00 am to 11:30 am,Global Sports Complex | Noida,Tennis Court,Not Booked,300,18 Sep 11:20
2026-09-18,Fri,11:30 am to 12:00 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,18 Sep 11:59
2026-09-18,Fri,12:00 pm to 12:30 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,18 Sep 12:23
2026-09-18,Fri,12:30 pm to 1:00 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,18 Sep 12:55
2026-09-18,Fri,1:00 pm to 1:30 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,18 Sep 13:20
2026-09-18,Fri,1:30 pm to 2:00 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,18 Sep 13:56
2026-09-18,Fri,2:00 pm to 2:30 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,18 Sep 14:22
2026-09-18,Fri,2:30 pm to 3:00 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,18 Sep 14:55
2026-09-18,Fri,3:00 pm to 3:30 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,300,18 Sep 15:21
2026-09-18,Fri,3:30 pm to 4:00 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,300,18 Sep 15:55
2026-09-18,Fri,4:00 pm to 4:30 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,600,18 Sep 16:20
