Sat 19 Sep 2026,Apex Sports Academy | Noida,Global Sports Complex | Noida,Indrayu Jeta Sports | Noida,Spodium Arena | Sector 29,Way To Slams Tennis Academy
12:00 am to 12:30 am,,,,,1 / 1
12:30 am to 1:00 am,,,,,1 / 1
1:00 am to 1:30 am,,,,,1 / 1
1:30 am to 2:00 am,,,,,1 / 1
2:00 am to 2:30 am,,,,,1 / 1
2:30 am to 3:00 am,,,,,1 / 1
3:00 am to 3:30 am,,,,,1 / 1
3:30 am to 4:00 am,,,,,1 / 1
4:00 am to 4:30 am,,,,,1 / 1
4:30 am to 5:00 am,,,,,1 / 1
5:00 am to 5:30 am,,,,1 / 1,1 / 1
5:30 am to 6:00 am,,,,1 / 1,1 / 1
6:00 am to 6:30 am,,,1 / 1,1 / 1,1 / 1
6:30 am to 7:00 am,,,1 / 1,1 / 1,1 / 1
7:00 am to 7:30 am,,,,1 / 1,
7:30 am to 8:00 am,,,,1 / 1,
8:00 am to 8:30 am,,,,1 / 1,
8:30 am to 9:00 am,,,,1 / 1,
9:00 am to 9:30 am,1 / 1,,,1 / 1,1 / 1
9:30 am to 10:00 am,1 / 1,,,1 / 1,1 / 1
10:00 am to 10:30 am,1 / 1,1 / 1,,1 / 1,1 / 1
10:30 am to 11:00 am,1 / 1,1 / 1,,1 / 1,1 / 1
11:00 am to 11:30 am,1 / 1,1 / 1,,1 / 1,1 / 1
11:30 am to 12:00 pm,1 / 1,1 / 1,,1 / 1,1 / 1
12:00 pm to 12:30 pm,1 / 1,1 / 1,,1 / 1,1 / 1
12:30 pm to 1:00 pm,1 / 1,1 / 1,,1 / 1,1 / 1
1:00 pm to 1:30 pm,1 / 1,1 / 1,,1 / 1,1 / 1
1:30 pm to 2:00 pm,1 / 1,1 / 1,,1 / 1,1 / 1
2:00 pm to 2:30 pm,1 / 1,1 / 1,,1 / 1,1 / 1
2:30 pm to 3:00 pm,1 / 1,1 / 1,,1 / 1,1 / 1
3:00 pm to 3:30 pm,1 / 1,1 / 1,1 / 1,1 / 1,1 / 1
3:30 pm to 4:00 pm,1 / 1,1 / 1,1 / 1,1 / 1,1 / 1
4:00 pm to 4:30 pm,,1 / 1,0 / 1,1 / 1,1 / 1
4:30 pm to 5:00 pm,,1 / 1,0 / 1,1 / 1,
5:00 pm to 5:30 pm,,,0 / 1,1 / 1,
5:30 pm to 6:00 pm,,,0 / 1,,
6:00 pm to 6:30 pm,,0 / 1,0 / 1,,
6:30 pm to 7:00 pm,,0 / 1,0 / 1,,
7:00 pm to 7:30 pm,,,0 / 1,,
7:30 pm to 8:00 pm,,,0 / 1,1 / 1,1 / 1
8:00 pm to 8:30 pm,,,0 / 1,1 / 1,1 / 1
8:30 pm to 9:00 pm,,,0 / 1,1 / 1,1 / 1
9:00 pm to 9:30 pm,,,,1 / 1,1 / 1
9:30 pm to 10:00 pm,,,,1 / 1,1 / 1
10:00 pm to 10:30 pm,,,,1 / 1,1 / 1
10:30 pm to 11:00 pm,,,,1 / 1,1 / 1
11:00 pm to 11:30 pm,,,,1 / 1,1 / 1
11:30 pm to 12:00 am,,,,1 / 1,1 / 1
