Date,Day,Slot Time,Venue,Court,Status,Price,Last checked
2026-09-23,Wed,12:00 am to 12:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 00:22
2026-09-23,Wed,12:30 am to 1:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 00:52
2026-09-23,Wed,1:00 am to 1:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 01:20
2026-09-23,Wed,1:30 am to 2:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 01:54
2026-09-23,Wed,2:00 am to 2:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 02:21
2026-09-23,Wed,2:30 am to 3:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 02:53
2026-09-23,Wed,3:00 am to 3:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 03:20
2026-09-23,Wed,3:30 am to 4:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 03:53
2026-09-23,Wed,4:00 am to 4:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 04:19
2026-09-23,Wed,4:30 am to 5:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 04:52
2026-09-23,Wed,5:00 am to 5:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 05:18
2026-09-23,Wed,5:00 am to 5:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 05:18
2026-09-23,Wed,5:30 am to 6:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 05:59
2026-09-23,Wed,5:30 am to 6:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 05:59
2026-09-23,Wed,6:00 am to 7:00 am,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Not Booked,222,23 Sep 06:53
2026-09-23,Wed,6:00 am to 6:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 06:23
2026-09-23,Wed,6:00 am to 6:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 06:23
2026-09-23,Wed,6:30 am to 7:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 06:53
2026-09-23,Wed,6:30 am to 7:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 06:53
2026-09-23,Wed,7:00 am to 7:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 07:19
2026-09-23,Wed,7:30 am to 8:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 07:55
2026-09-23,Wed,9:00 am to 10:00 am,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,23 Sep 09:55
2026-09-23,Wed,9:00 am to 9:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,23 Sep 09:21
2026-09-23,Wed,9:30 am to 10:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,23 Sep 09:55
2026-09-23,Wed,10:00 am to 11:00 am,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,23 Sep 10:54
2026-09-23,Wed,10:00 am to 10:30 am,Global Sports Complex | Noida,Tennis Court,Not Booked,300,23 Sep 10:21
2026-09-23,Wed,10:00 am to 10:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,23 Sep 10:21
