Date,Day,Slot Time,Tennis (Clay Courts),Last checked
20 Sep 2026,Sun,9:00 am to 10:00 am,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,10:00 am to 11:00 am,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,11:00 am to 12:00 pm,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,12:00 pm to 1:00 pm,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,1:00 pm to 2:00 pm,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,2:00 pm to 3:00 pm,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,3:00 pm to 4:00 pm,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,4:00 pm to 5:00 pm,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,5:00 pm to 6:00 pm,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,6:00 pm to 7:00 pm,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,7:00 pm to 8:00 pm,Filling Fast,20 Sep 01:53
20 Sep 2026,Sun,8:00 pm to 9:00 pm,Filling Fast,20 Sep 01:53
