Date,Day,Slot Time,Tennis Court (Clay),Last checked
20 Sep 2026,Sun,5:00 am to 5:30 am,Not Booked,20 Sep 05:19
20 Sep 2026,Sun,5:30 am to 6:00 am,Not Booked,20 Sep 05:19
20 Sep 2026,Sun,6:00 am to 6:30 am,Not Booked,20 Sep 06:23
20 Sep 2026,Sun,6:30 am to 7:00 am,Not Booked,20 Sep 06:53
20 Sep 2026,Sun,7:00 am to 7:30 am,Not Booked,20 Sep 07:20
20 Sep 2026,Sun,7:30 am to 8:00 am,Not Booked,20 Sep 07:54
20 Sep 2026,Sun,8:00 am to 8:30 am,Not Booked,20 Sep 08:21
20 Sep 2026,Sun,8:30 am to 9:00 am,Not Booked,20 Sep 08:54
20 Sep 2026,Sun,9:00 am to 9:30 am,Not Booked,20 Sep 09:21
20 Sep 2026,Sun,9:30 am to 10:00 am,Not Booked,20 Sep 09:54
20 Sep 2026,Sun,10:00 am to 10:30 am,Not Booked,20 Sep 10:20
20 Sep 2026,Sun,10:30 am to 11:00 am,Not Booked,20 Sep 10:53
20 Sep 2026,Sun,11:00 am to 11:30 am,Not Booked,20 Sep 11:19
20 Sep 2026,Sun,11:30 am to 12:00 pm,Not Booked,20 Sep 11:58
20 Sep 2026,Sun,12:00 pm to 12:30 pm,Not Booked,20 Sep 12:23
20 Sep 2026,Sun,12:30 pm to 1:00 pm,Not Booked,20 Sep 12:53
20 Sep 2026,Sun,1:00 pm to 1:30 pm,Not Booked,20 Sep 13:19
20 Sep 2026,Sun,1:30 pm to 2:00 pm,Not Booked,20 Sep 13:54
20 Sep 2026,Sun,2:00 pm to 2:30 pm,Not Booked,20 Sep 14:20
20 Sep 2026,Sun,2:30 pm to 3:00 pm,Not Booked,20 Sep 14:53
20 Sep 2026,Sun,3:00 pm to 3:30 pm,Not Booked,20 Sep 15:19
20 Sep 2026,Sun,3:30 pm to 4:00 pm,Not Booked,20 Sep 15:53
20 Sep 2026,Sun,4:00 pm to 4:30 pm,Not Booked,20 Sep 16:19
20 Sep 2026,Sun,4:30 pm to 5:00 pm,Not Booked,20 Sep 16:53
20 Sep 2026,Sun,5:00 pm to 5:30 pm,Not Booked,20 Sep 17:18
20 Sep 2026,Sun,5:30 pm to 6:00 pm,Not Booked,20 Sep 17:58
20 Sep 2026,Sun,6:00 pm to 6:30 pm,Not Booked,20 Sep 18:22
20 Sep 2026,Sun,6:30 pm to 7:00 pm,Not Booked,20 Sep 18:53
20 Sep 2026,Sun,7:00 pm to 7:30 pm,Not Booked,20 Sep 19:20
20 Sep 2026,Sun,7:30 pm to 8:00 pm,Not Booked,20 Sep 19:53
20 Sep 2026,Sun,8:00 pm to 8:30 pm,Not Booked,20 Sep 20:19
20 Sep 2026,Sun,8:30 pm to 9:00 pm,Not Booked,20 Sep 20:19
20 Sep 2026,Sun,9:00 pm to 9:30 pm,Not Booked,20 Sep 20:19
20 Sep 2026,Sun,9:30 pm to 10:00 pm,Not Booked,20 Sep 20:19
20 Sep 2026,Sun,10:00 pm to 10:30 pm,Not Booked,20 Sep 20:19
20 Sep 2026,Sun,10:30 pm to 11:00 pm,Not Booked,20 Sep 20:19
20 Sep 2026,Sun,11:00 pm to 11:30 pm,Not Booked,20 Sep 20:19
20 Sep 2026,Sun,11:30 pm to 12:00 am,Not Booked,20 Sep 20:19
