Date,Day,Slot Time,Tennis (Clay Courts),Last checked
19 Sep 2026,Sat,12:00 am to 12:30 am,Not Booked,19 Sep 00:20
19 Sep 2026,Sat,12:30 am to 1:00 am,Not Booked,19 Sep 00:52
19 Sep 2026,Sat,1:00 am to 1:30 am,Not Booked,19 Sep 01:18
19 Sep 2026,Sat,1:30 am to 2:00 am,Not Booked,19 Sep 01:54
19 Sep 2026,Sat,2:00 am to 2:30 am,Not Booked,19 Sep 02:20
19 Sep 2026,Sat,2:30 am to 3:00 am,Not Booked,19 Sep 02:53
19 Sep 2026,Sat,3:00 am to 3:30 am,Not Booked,19 Sep 03:18
19 Sep 2026,Sat,3:30 am to 4:00 am,Not Booked,19 Sep 03:53
19 Sep 2026,Sat,4:00 am to 4:30 am,Not Booked,19 Sep 04:19
19 Sep 2026,Sat,4:30 am to 5:00 am,Not Booked,19 Sep 04:53
19 Sep 2026,Sat,5:00 am to 5:30 am,Not Booked,19 Sep 05:19
19 Sep 2026,Sat,5:30 am to 6:00 am,Not Booked,19 Sep 05:19
19 Sep 2026,Sat,6:00 am to 6:30 am,Not Booked,19 Sep 06:22
19 Sep 2026,Sat,6:30 am to 7:00 am,Not Booked,19 Sep 06:54
19 Sep 2026,Sat,7:00 am to 7:30 am,,
19 Sep 2026,Sat,7:30 am to 8:00 am,,
19 Sep 2026,Sat,8:00 am to 8:30 am,,
19 Sep 2026,Sat,8:30 am to 9:00 am,,
19 Sep 2026,Sat,9:00 am to 9:30 am,Not Booked,19 Sep 09:20
19 Sep 2026,Sat,9:30 am to 10:00 am,Not Booked,19 Sep 09:54
19 Sep 2026,Sat,10:00 am to 10:30 am,Not Booked,19 Sep 10:19
19 Sep 2026,Sat,10:30 am to 11:00 am,Not Booked,19 Sep 10:53
19 Sep 2026,Sat,11:00 am to 11:30 am,Not Booked,19 Sep 11:19
19 Sep 2026,Sat,11:30 am to 12:00 pm,Not Booked,19 Sep 11:58
19 Sep 2026,Sat,12:00 pm to 12:30 pm,Not Booked,19 Sep 12:22
19 Sep 2026,Sat,12:30 pm to 1:00 pm,Not Booked,19 Sep 12:53
19 Sep 2026,Sat,1:00 pm to 1:30 pm,Not Booked,19 Sep 13:19
19 Sep 2026,Sat,1:30 pm to 2:00 pm,Not Booked,19 Sep 13:55
19 Sep 2026,Sat,2:00 pm to 2:30 pm,Not Booked,19 Sep 14:20
19 Sep 2026,Sat,2:30 pm to 3:00 pm,Not Booked,19 Sep 14:53
19 Sep 2026,Sat,3:00 pm to 3:30 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,3:30 pm to 4:00 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,4:00 pm to 4:30 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,4:30 pm to 5:00 pm,,
19 Sep 2026,Sat,5:00 pm to 5:30 pm,,
19 Sep 2026,Sat,5:30 pm to 6:00 pm,,
19 Sep 2026,Sat,6:00 pm to 6:30 pm,,
19 Sep 2026,Sat,6:30 pm to 7:00 pm,,
19 Sep 2026,Sat,7:00 pm to 7:30 pm,,
19 Sep 2026,Sat,7:30 pm to 8:00 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,8:00 pm to 8:30 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,8:30 pm to 9:00 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,9:00 pm to 9:30 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,9:30 pm to 10:00 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,10:00 pm to 10:30 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,10:30 pm to 11:00 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,11:00 pm to 11:30 pm,Not Booked,19 Sep 15:19
19 Sep 2026,Sat,11:30 pm to 12:00 am,Not Booked,19 Sep 15:19
