Date,Day,Slot Time,Venue,Court,Status,Price,Last checked
2026-09-13,Sun,10:00 pm to 10:30 pm,Anandmay Sports Club | Sector 128,Court 1,Not Booked,250,13 Sep 21:58
2026-09-13,Sun,10:30 pm to 11:00 pm,Anandmay Sports Club | Sector 128,Court 1,Not Booked,250,13 Sep 21:58
2026-09-13,Sun,11:00 pm to 11:30 pm,Anandmay Sports Club | Sector 128,Court 1,Not Booked,250,13 Sep 21:58
2026-09-13,Sun,11:30 pm to 12:00 am,Anandmay Sports Club | Sector 128,Court 1,Not Booked,250,13 Sep 21:58
2026-09-13,Sun,9:30 pm to 10:00 pm,Anandmay Sports Club | Sector 128,Court 1,Not Booked,250,13 Sep 21:58
2026-09-13,Sun,11:00 pm to 11:30 pm,Anandmay Sports Club | Sector 128,Court 2,Not Booked,250,13 Sep 23:14
2026-09-13,Sun,11:30 pm to 12:00 am,Anandmay Sports Club | Sector 128,Court 2,Not Booked,250,13 Sep 23:59
2026-09-13,Sun,10:00 pm to 10:30 pm,Arena 44,Court 2 (Outdoor),Not Booked,450,13 Sep 22:17
2026-09-13,Sun,10:30 pm to 11:00 pm,Arena 44,Court 2 (Outdoor),Not Booked,450,13 Sep 22:17
2026-09-13,Sun,10:30 pm to 11:00 pm,CoPlay RISE | Sec 73 Noida,Court 1,Not Booked,200,13 Sep 22:48
2026-09-13,Sun,11:00 pm to 11:30 pm,CoPlay RISE | Sec 73 Noida,Court 1,Not Booked,200,13 Sep 22:48
2026-09-13,Sun,11:30 pm to 12:00 am,CoPlay RISE | Sec 73 Noida,Court 1,Not Booked,200,13 Sep 23:59
2026-09-13,Sun,11:00 pm to 11:30 pm,CoPlay RISE | Sec 73 Noida,Court 2,Not Booked,200,13 Sep 23:14
2026-09-13,Sun,11:30 pm to 12:00 am,CoPlay RISE | Sec 73 Noida,Court 2,Not Booked,200,13 Sep 23:59
2026-09-13,Sun,11:00 pm to 11:30 pm,Crickdome,Court 1,Not Booked,400,13 Sep 23:14
2026-09-13,Sun,11:30 pm to 12:00 am,Crickdome,Court 1,Not Booked,400,13 Sep 23:14
2026-09-13,Sun,10:00 pm to 10:30 pm,Crickdome,Court 2,Not Booked,400,13 Sep 22:17
2026-09-13,Sun,10:30 pm to 11:00 pm,Crickdome,Court 2,Not Booked,400,13 Sep 22:17
2026-09-13,Sun,11:00 pm to 11:30 pm,Crickdome,Court 2,Not Booked,400,13 Sep 22:17
2026-09-13,Sun,11:30 pm to 12:00 am,Crickdome,Court 2,Not Booked,400,13 Sep 23:59
2026-09-13,Sun,11:00 pm to 11:30 pm,Dinking Zone One29,Court 1,Not Booked,450,13 Sep 23:14
2026-09-13,Sun,11:30 pm to 12:00 am,Dinking Zone One29,Court 1,Not Booked,450,13 Sep 23:59
2026-09-13,Sun,10:00 pm to 10:30 pm,Dinking Zone One29,Court 2,Not Booked,450,13 Sep 22:17
2026-09-13,Sun,10:30 pm to 11:00 pm,Dinking Zone One29,Court 2,Not Booked,450,13 Sep 22:17
2026-09-13,Sun,11:00 pm to 11:30 pm,Dinking Zone One29,Court 2,Not Booked,450,13 Sep 22:17
2026-09-13,Sun,11:30 pm to 12:00 am,Dinking Zone One29,Court 2,Not Booked,450,13 Sep 23:59
2026-09-13,Sun,11:00 pm to 11:30 pm,Dinking Zone One29,Court 3,Not Booked,450,13 Sep 23:14
2026-09-13,Sun,11:30 pm to 12:00 am,Dinking Zone One29,Court 3,Not Booked,450,13 Sep 23:14
2026-09-13,Sun,11:00 pm to 11:30 pm,Heat Sports Arena 150,Court 1,Not Booked,450,13 Sep 23:14
2026-09-13,Sun,11:30 pm to 12:00 am,Heat Sports Arena 150,Court 1,Not Booked,450,13 Sep 23:59
2026-09-13,Sun,10:00 pm to 10:30 pm,Heat Sports Arena 150,Court 2,Not Booked,450,13 Sep 21:58
2026-09-13,Sun,10:30 pm to 11:00 pm,Heat Sports Arena 150,Court 2,Not Booked,450,13 Sep 21:58
2026-09-13,Sun,11:00 pm to 11:30 pm,Heat Sports Arena 150,Court 2,Not Booked,450,13 Sep 21:58
2026-09-13,Sun,11:30 pm to 12:00 am,Heat Sports Arena 150,Court 2,Not Booked,450,13 Sep 23:59
2026-09-13,Sun,9:30 pm to 10:00 pm,Heat Sports Arena 150,Court 2,Not Booked,450,13 Sep 21:58
2026-09-13,Sun,11:00 pm to 12:00 am,Noida Indoor Stadium,Court 1,Not Booked,944,13 Sep 23:59
2026-09-13,Sun,10:00 pm to 11:00 pm,Noida Indoor Stadium,Court 2,Not Booked,944,13 Sep 22:17
2026-09-13,Sun,11:00 pm to 12:00 am,Noida Indoor Stadium,Court 2,Not Booked,944,13 Sep 22:17
2026-09-13,Sun,11:00 pm to 12:00 am,Noida Indoor Stadium,Court 3,Not Booked,944,13 Sep 23:59
2026-09-13,Sun,10:30 pm to 11:00 pm,Noida Pickleball Courts | Sec-100,Court 1,Not Booked,450,13 Sep 22:48
2026-09-13,Sun,11:00 pm to 11:30 pm,Noida Pickleball Courts | Sec-100,Court 1,Not Booked,450,13 Sep 22:48
2026-09-13,Sun,11:30 pm to 12:00 am,Noida Pickleball Courts | Sec-100,Court 1,Not Booked,450,13 Sep 23:59
2026-09-13,Sun,11:00 pm to 11:30 pm,Noida Pickleball Courts | Sec-100,Court 2,Not Booked,450,13 Sep 23:14
2026-09-13,Sun,11:30 pm to 12:00 am,Noida Pickleball Courts | Sec-100,Court 2,Not Booked,450,13 Sep 23:14
2026-09-13,Sun,10:00 pm to 11:00 pm,Pickit | Vijay Sri Academy,Court 1,Not Booked,750,13 Sep 22:48
2026-09-13,Sun,11:00 pm to 12:00 am,Pickit | Vijay Sri Academy,Court 1,Not Booked,750,13 Sep 23:59
2026-09-13,Sun,11:00 pm to 12:00 am,Pickit | Vijay Sri Academy,Court 2,Not Booked,750,13 Sep 23:59
2026-09-13,Sun,11:00 pm to 12:00 am,Pickit | Vijay Sri Academy,Court 3,Not Booked,750,13 Sep 23:14
2026-09-13,Sun,10:00 pm to 10:30 pm,Pickle Pros | Noida,Pickleball Court 1,Booked,400,13 Sep 21:44
2026-09-13,Sun,9:30 pm to 10:00 pm,Pickle Pros | Noida,Pickleball Court 1,Booked,400,13 Sep 21:44
2026-09-13,Sun,10:30 pm to 11:00 pm,Pickleflow Social,Court 1,Not Booked,500,13 Sep 22:48
2026-09-13,Sun,11:00 pm to 11:30 pm,Pickleflow Social,Court 1,Not Booked,500,13 Sep 22:48
2026-09-13,Sun,11:30 pm to 12:00 am,Pickleflow Social,Court 1,Not Booked,500,13 Sep 23:59
2026-09-13,Sun,11:00 pm to 11:30 pm,Pickleflow Social,Court 2,Not Booked,500,13 Sep 23:14
2026-09-13,Sun,11:30 pm to 12:00 am,Pickleflow Social,Court 2,Not Booked,500,13 Sep 23:14
2026-09-13,Sun,10:30 pm to 11:00 pm,Pickleflow Social,Court 3,Not Booked,500,13 Sep 22:48
2026-09-13,Sun,11:00 pm to 11:30 pm,Pickleflow Social,Court 3,Not Booked,500,13 Sep 22:48
