Date,Day,Slot Time,Court 1,Court 2,Last checked
14 Sep 2026,Mon,5:00 am to 5:30 am,Not Booked,Not Booked,14 Sep 05:22
14 Sep 2026,Mon,5:30 am to 6:00 am,Not Booked,Not Booked,14 Sep 05:22
14 Sep 2026,Mon,6:00 am to 6:30 am,Not Booked,Not Booked,14 Sep 06:30
14 Sep 2026,Mon,6:30 am to 7:00 am,Not Booked,Not Booked,14 Sep 06:57
14 Sep 2026,Mon,7:00 am to 7:30 am,Not Booked,Not Booked,14 Sep 07:25
14 Sep 2026,Mon,7:30 am to 8:00 am,Not Booked,Not Booked,14 Sep 07:58
14 Sep 2026,Mon,8:00 am to 8:30 am,Not Booked,Not Booked,14 Sep 08:25
14 Sep 2026,Mon,8:30 am to 9:00 am,Not Booked,Not Booked,14 Sep 08:25
14 Sep 2026,Mon,7:00 pm to 7:30 pm,Not Booked,Not Booked,14 Sep 10:34
14 Sep 2026,Mon,7:30 pm to 8:00 pm,Not Booked,Not Booked,14 Sep 10:34
14 Sep 2026,Mon,8:00 pm to 8:30 pm,Not Booked,Not Booked,14 Sep 10:34
14 Sep 2026,Mon,8:30 pm to 9:00 pm,Not Booked,Not Booked,14 Sep 10:34
14 Sep 2026,Mon,9:00 pm to 9:30 pm,Not Booked,Not Booked,14 Sep 10:34
14 Sep 2026,Mon,9:30 pm to 10:00 pm,Not Booked,Not Booked,14 Sep 10:34
14 Sep 2026,Mon,10:00 pm to 10:30 pm,Not Booked,Not Booked,14 Sep 10:34
14 Sep 2026,Mon,10:30 pm to 11:00 pm,Not Booked,Not Booked,14 Sep 10:34
14 Sep 2026,Mon,11:00 pm to 11:30 pm,Not Booked,Not Booked,14 Sep 10:34
14 Sep 2026,Mon,11:30 pm to 12:00 am,Not Booked,Not Booked,14 Sep 10:34
