Date,Day,Slot Time,Court 1,Court 2,Last checked
19 Sep 2026,Sat,12:00 am to 12:30 am,,,
19 Sep 2026,Sat,12:30 am to 1:00 am,Not Booked,Not Booked,19 Sep 00:32
19 Sep 2026,Sat,1:00 am to 1:30 am,Not Booked,Not Booked,19 Sep 01:27
19 Sep 2026,Sat,1:30 am to 2:00 am,Not Booked,Not Booked,19 Sep 01:27
19 Sep 2026,Sat,2:00 am to 2:30 am,Not Booked,Not Booked,19 Sep 02:03
19 Sep 2026,Sat,2:30 am to 3:00 am,Not Booked,Not Booked,19 Sep 02:31
19 Sep 2026,Sat,3:00 am to 3:30 am,Not Booked,Not Booked,19 Sep 03:29
19 Sep 2026,Sat,3:30 am to 4:00 am,Not Booked,Not Booked,19 Sep 03:29
19 Sep 2026,Sat,4:00 am to 4:30 am,Not Booked,Not Booked,19 Sep 04:04
19 Sep 2026,Sat,4:30 am to 5:00 am,Not Booked,Not Booked,19 Sep 04:30
19 Sep 2026,Sat,5:00 am to 5:30 am,Not Booked,Not Booked,19 Sep 05:27
19 Sep 2026,Sat,5:30 am to 6:00 am,Not Booked,Not Booked,19 Sep 05:27
19 Sep 2026,Sat,6:00 am to 6:30 am,Not Booked,Not Booked,19 Sep 06:12
19 Sep 2026,Sat,6:30 am to 7:00 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,7:00 am to 7:30 am,Not Booked,Not Booked,19 Sep 07:03
19 Sep 2026,Sat,7:30 am to 8:00 am,Not Booked,Not Booked,19 Sep 07:31
19 Sep 2026,Sat,8:00 am to 8:30 am,Not Booked,Not Booked,19 Sep 08:04
19 Sep 2026,Sat,8:30 am to 9:00 am,Not Booked,Not Booked,19 Sep 08:31
19 Sep 2026,Sat,9:00 am to 9:30 am,Not Booked,Not Booked,19 Sep 09:05
19 Sep 2026,Sat,9:30 am to 10:00 am,Not Booked,Not Booked,19 Sep 09:30
19 Sep 2026,Sat,10:00 am to 10:30 am,Not Booked,Not Booked,19 Sep 10:05
19 Sep 2026,Sat,10:30 am to 11:00 am,Not Booked,Not Booked,19 Sep 10:31
19 Sep 2026,Sat,11:00 am to 11:30 am,Not Booked,Not Booked,19 Sep 11:02
19 Sep 2026,Sat,11:30 am to 12:00 pm,Not Booked,Not Booked,19 Sep 11:30
19 Sep 2026,Sat,12:00 pm to 12:30 pm,Not Booked,Not Booked,19 Sep 12:07
19 Sep 2026,Sat,12:30 pm to 1:00 pm,Not Booked,Not Booked,19 Sep 12:33
19 Sep 2026,Sat,1:00 pm to 1:30 pm,Not Booked,Not Booked,19 Sep 13:03
19 Sep 2026,Sat,1:30 pm to 2:00 pm,Not Booked,Not Booked,19 Sep 13:30
19 Sep 2026,Sat,2:00 pm to 2:30 pm,Not Booked,Not Booked,19 Sep 14:06
19 Sep 2026,Sat,2:30 pm to 3:00 pm,Not Booked,Not Booked,19 Sep 14:30
19 Sep 2026,Sat,3:00 pm to 3:30 pm,Not Booked,Not Booked,19 Sep 15:05
19 Sep 2026,Sat,3:30 pm to 4:00 pm,Not Booked,Not Booked,19 Sep 15:30
19 Sep 2026,Sat,4:00 pm to 4:30 pm,Not Booked,Not Booked,19 Sep 16:04
19 Sep 2026,Sat,4:30 pm to 5:00 pm,Not Booked,Not Booked,19 Sep 16:30
19 Sep 2026,Sat,5:00 pm to 5:30 pm,Not Booked,Not Booked,19 Sep 17:03
19 Sep 2026,Sat,5:30 pm to 6:00 pm,Not Booked,Not Booked,19 Sep 17:31
19 Sep 2026,Sat,6:00 pm to 6:30 pm,Not Booked,Not Booked,19 Sep 18:09
19 Sep 2026,Sat,6:30 pm to 7:00 pm,Not Booked,Not Booked,19 Sep 18:35
19 Sep 2026,Sat,7:00 pm to 7:30 pm,Not Booked,Not Booked,19 Sep 19:28
19 Sep 2026,Sat,7:30 pm to 8:00 pm,Not Booked,Not Booked,19 Sep 19:28
19 Sep 2026,Sat,8:00 pm to 8:30 pm,Not Booked,Not Booked,19 Sep 20:29
19 Sep 2026,Sat,8:30 pm to 9:00 pm,Not Booked,Not Booked,19 Sep 20:29
19 Sep 2026,Sat,9:00 pm to 9:30 pm,Not Booked,Not Booked,19 Sep 21:28
19 Sep 2026,Sat,9:30 pm to 10:00 pm,Not Booked,Not Booked,19 Sep 21:28
19 Sep 2026,Sat,10:00 pm to 10:30 pm,Not Booked,Not Booked,19 Sep 22:03
19 Sep 2026,Sat,10:30 pm to 11:00 pm,Not Booked,Not Booked,19 Sep 22:30
19 Sep 2026,Sat,11:00 pm to 11:30 pm,Not Booked,Not Booked,19 Sep 22:30
19 Sep 2026,Sat,11:30 pm to 12:00 am,Not Booked,Not Booked,19 Sep 22:30
