Date,Day,Slot Time,Court 1,Court 2,Last checked
21 Sep 2026,Mon,6:00 am to 6:30 am,Not Booked,Not Booked,21 Sep 05:30
21 Sep 2026,Mon,6:30 am to 7:00 am,Not Booked,Not Booked,21 Sep 05:30
21 Sep 2026,Mon,7:00 am to 7:30 am,Not Booked,Not Booked,21 Sep 07:04
21 Sep 2026,Mon,7:30 am to 8:00 am,Not Booked,Not Booked,21 Sep 07:32
21 Sep 2026,Mon,8:00 am to 8:30 am,Not Booked,Not Booked,21 Sep 08:05
21 Sep 2026,Mon,8:30 am to 9:00 am,Not Booked,Not Booked,21 Sep 08:31
21 Sep 2026,Mon,9:00 am to 9:30 am,Not Booked,Not Booked,21 Sep 09:03
21 Sep 2026,Mon,9:30 am to 10:00 am,Not Booked,Not Booked,21 Sep 09:03
21 Sep 2026,Mon,10:00 am to 10:30 am,Not Booked,Not Booked,21 Sep 10:06
21 Sep 2026,Mon,10:30 am to 11:00 am,Not Booked,Not Booked,21 Sep 10:31
21 Sep 2026,Mon,11:00 am to 11:30 am,Not Booked,Not Booked,21 Sep 11:04
21 Sep 2026,Mon,11:30 am to 12:00 pm,Not Booked,Not Booked,21 Sep 11:31
21 Sep 2026,Mon,12:00 pm to 12:30 pm,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,12:30 pm to 1:00 pm,Not Booked,Not Booked,21 Sep 12:39
21 Sep 2026,Mon,1:00 pm to 1:30 pm,Not Booked,Not Booked,21 Sep 13:07
21 Sep 2026,Mon,1:30 pm to 2:00 pm,Not Booked,Not Booked,21 Sep 13:34
21 Sep 2026,Mon,2:00 pm to 2:30 pm,Not Booked,Not Booked,21 Sep 14:07
21 Sep 2026,Mon,2:30 pm to 3:00 pm,Not Booked,Not Booked,21 Sep 14:33
21 Sep 2026,Mon,3:00 pm to 3:30 pm,Not Booked,Not Booked,21 Sep 15:07
21 Sep 2026,Mon,3:30 pm to 4:00 pm,Not Booked,Not Booked,21 Sep 15:32
21 Sep 2026,Mon,4:00 pm to 4:30 pm,Not Booked,Not Booked,21 Sep 16:05
21 Sep 2026,Mon,4:30 pm to 5:00 pm,Not Booked,Not Booked,21 Sep 16:30
21 Sep 2026,Mon,5:00 pm to 5:30 pm,Not Booked,Not Booked,21 Sep 16:30
21 Sep 2026,Mon,5:30 pm to 6:00 pm,Not Booked,Not Booked,21 Sep 17:31
21 Sep 2026,Mon,6:00 pm to 6:30 pm,Not Booked,Not Booked,21 Sep 18:09
21 Sep 2026,Mon,6:30 pm to 7:00 pm,Not Booked,Not Booked,21 Sep 18:33
21 Sep 2026,Mon,7:00 pm to 7:30 pm,Not Booked,Not Booked,21 Sep 19:03
21 Sep 2026,Mon,7:30 pm to 8:00 pm,Not Booked,Not Booked,21 Sep 19:32
21 Sep 2026,Mon,8:00 pm to 8:30 pm,Not Booked,Not Booked,21 Sep 20:05
21 Sep 2026,Mon,8:30 pm to 9:00 pm,Not Booked,Not Booked,21 Sep 20:32
21 Sep 2026,Mon,9:00 pm to 9:30 pm,Not Booked,Not Booked,21 Sep 20:32
21 Sep 2026,Mon,9:30 pm to 10:00 pm,Not Booked,Not Booked,21 Sep 20:32
21 Sep 2026,Mon,10:00 pm to 10:30 pm,Not Booked,Not Booked,21 Sep 20:32
21 Sep 2026,Mon,10:30 pm to 11:00 pm,Not Booked,Not Booked,21 Sep 22:31
21 Sep 2026,Mon,11:00 pm to 11:30 pm,Not Booked,Not Booked,21 Sep 23:01
21 Sep 2026,Mon,11:30 pm to 12:00 am,Not Booked,Not Booked,21 Sep 23:31
