Date,Day,Slot Time,Court 1,Court 2,Court 3,Last checked
22 Sep 2026,Tue,12:00 am to 1:00 am,Not Booked,Not Booked,Not Booked,22 Sep 00:35
22 Sep 2026,Tue,1:00 am to 2:00 am,Not Booked,Not Booked,Not Booked,22 Sep 01:30
22 Sep 2026,Tue,2:00 am to 3:00 am,,,,
22 Sep 2026,Tue,3:00 am to 4:00 am,,,,
22 Sep 2026,Tue,4:00 am to 5:00 am,,,,
22 Sep 2026,Tue,5:00 am to 6:00 am,,,,
22 Sep 2026,Tue,6:00 am to 7:00 am,Not Booked,Not Booked,Not Booked,22 Sep 06:36
22 Sep 2026,Tue,7:00 am to 8:00 am,Not Booked,,Not Booked,22 Sep 07:29
22 Sep 2026,Tue,8:00 am to 9:00 am,,,Not Booked,22 Sep 08:32
22 Sep 2026,Tue,9:00 am to 10:00 am,,Not Booked,Not Booked,22 Sep 09:05
22 Sep 2026,Tue,10:00 am to 11:00 am,Not Booked,Not Booked,Not Booked,22 Sep 10:30
22 Sep 2026,Tue,11:00 am to 12:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 11:30
22 Sep 2026,Tue,12:00 pm to 1:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,1:00 pm to 2:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,2:00 pm to 3:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,3:00 pm to 4:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,4:00 pm to 5:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,5:00 pm to 6:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,6:00 pm to 7:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,7:00 pm to 8:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,8:00 pm to 9:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,9:00 pm to 10:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,10:00 pm to 11:00 pm,Not Booked,Not Booked,Not Booked,22 Sep 12:36
22 Sep 2026,Tue,11:00 pm to 12:00 am,Not Booked,Not Booked,Not Booked,22 Sep 12:36
