Date,Day,Slot Time,Court 1,Court 2,Court 3,Last checked
14 Sep 2026,Mon,3:00 pm to 3:30 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,3:30 pm to 4:00 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,4:00 pm to 4:30 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,4:30 pm to 5:00 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,5:00 pm to 5:30 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,5:30 pm to 6:00 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,6:00 pm to 6:30 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,6:30 pm to 7:00 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,7:00 pm to 7:30 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,7:30 pm to 8:00 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,8:00 pm to 8:30 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,8:30 pm to 9:00 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,9:00 pm to 9:30 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,9:30 pm to 10:00 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,10:00 pm to 10:30 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
14 Sep 2026,Mon,10:30 pm to 11:00 pm,Not Booked,Not Booked,Not Booked,14 Sep 11:32
