Date,Day,Slot Time,Court 1,Court 2,Court 3,Court 4,Last checked
16 Sep 2026,Wed,5:00 am to 5:30 am,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 05:02
16 Sep 2026,Wed,5:30 am to 6:00 am,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 05:31
16 Sep 2026,Wed,6:00 am to 6:30 am,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 06:11
16 Sep 2026,Wed,6:30 am to 7:00 am,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 06:37
16 Sep 2026,Wed,7:00 am to 7:30 am,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 07:06
16 Sep 2026,Wed,7:30 am to 8:00 am,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 07:30
16 Sep 2026,Wed,8:00 am to 8:30 am,,,,,
16 Sep 2026,Wed,8:30 am to 9:00 am,,,,,
16 Sep 2026,Wed,9:00 am to 9:30 am,,,,,
16 Sep 2026,Wed,9:30 am to 10:00 am,,,,,
16 Sep 2026,Wed,10:00 am to 10:30 am,,,,,
16 Sep 2026,Wed,10:30 am to 11:00 am,,,,,
16 Sep 2026,Wed,11:00 am to 11:30 am,,,,,
16 Sep 2026,Wed,11:30 am to 12:00 pm,,,,,
16 Sep 2026,Wed,12:00 pm to 12:30 pm,Not Booked,Not Booked,,Not Booked,16 Sep 12:11
16 Sep 2026,Wed,12:30 pm to 1:00 pm,Not Booked,Not Booked,,Not Booked,16 Sep 12:37
16 Sep 2026,Wed,1:00 pm to 1:30 pm,Not Booked,Not Booked,,Not Booked,16 Sep 13:06
16 Sep 2026,Wed,1:30 pm to 2:00 pm,Not Booked,Not Booked,,Not Booked,16 Sep 13:33
16 Sep 2026,Wed,2:00 pm to 2:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 14:07
16 Sep 2026,Wed,2:30 pm to 3:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 14:36
16 Sep 2026,Wed,3:00 pm to 3:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 15:06
16 Sep 2026,Wed,3:30 pm to 4:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 15:32
16 Sep 2026,Wed,4:00 pm to 4:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 16:07
16 Sep 2026,Wed,4:30 pm to 5:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 16:07
16 Sep 2026,Wed,5:00 pm to 5:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 16:07
16 Sep 2026,Wed,5:30 pm to 6:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 17:32
16 Sep 2026,Wed,6:00 pm to 6:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 18:10
16 Sep 2026,Wed,6:30 pm to 7:00 pm,Not Booked,Booked,Not Booked,Not Booked,16 Sep 18:37
16 Sep 2026,Wed,7:00 pm to 7:30 pm,Not Booked,Booked,Booked,Not Booked,16 Sep 19:06
16 Sep 2026,Wed,7:30 pm to 8:00 pm,Not Booked,Booked,Booked,Not Booked,16 Sep 19:34
16 Sep 2026,Wed,8:00 pm to 8:30 pm,Not Booked,Not Booked,Booked,Not Booked,16 Sep 20:07
16 Sep 2026,Wed,8:30 pm to 9:00 pm,Not Booked,Not Booked,Booked,Not Booked,16 Sep 20:31
16 Sep 2026,Wed,9:00 pm to 9:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 21:04
16 Sep 2026,Wed,9:30 pm to 10:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 21:32
16 Sep 2026,Wed,10:00 pm to 10:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 22:05
16 Sep 2026,Wed,10:30 pm to 11:00 pm,Not Booked,Not Booked,Booked,Not Booked,16 Sep 22:31
16 Sep 2026,Wed,11:00 pm to 11:30 pm,Not Booked,Not Booked,Booked,Not Booked,16 Sep 23:02
16 Sep 2026,Wed,11:30 pm to 12:00 am,Not Booked,Not Booked,Not Booked,Not Booked,16 Sep 23:02
